match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,prop_id,under_prop_id,agency,opposition_team
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Kyrin Galloway,Cairns Taipans,4.5,1.15,NA,572332,NA,TAB,Perth Wildcats
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Majok Deng,Tasmania JackJumpers,9.5,1.45,NA,570366,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Majok Deng,Tasmania JackJumpers,14.5,3,NA,570387,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Majok Deng,Tasmania JackJumpers,19.5,7,NA,570403,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Majok Deng,Tasmania JackJumpers,4.5,1.05,NA,570222,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Makuach Maluach,Sydney Kings,9.5,1.6,NA,570311,NA,TAB,Tasmania JackJumpers
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Makuach Maluach,Sydney Kings,14.5,4,NA,570373,NA,TAB,Tasmania JackJumpers
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Makuach Maluach,Sydney Kings,19.5,11,NA,570394,NA,TAB,Tasmania JackJumpers
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Makuach Maluach,Sydney Kings,4.5,1.1,NA,570192,NA,TAB,Tasmania JackJumpers
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Malique Lewis,South East Melbourne Phoenix,9.5,1.95,NA,566354,NA,TAB,New Zealand Breakers
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Malique Lewis,South East Melbourne Phoenix,14.5,5,NA,566429,NA,TAB,New Zealand Breakers
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Malique Lewis,South East Melbourne Phoenix,4.5,1.15,NA,566233,NA,TAB,New Zealand Breakers
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Marcus Lee,Cairns Taipans,9.5,2.5,NA,572399,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Marcus Lee,Cairns Taipans,14.5,7.5,NA,572456,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Marcus Lee,Cairns Taipans,4.5,1.25,NA,572337,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Mojave King,Cairns Taipans,9.5,1.5,NA,572403,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Mojave King,Cairns Taipans,14.5,3,NA,572460,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Mojave King,Cairns Taipans,19.5,7.5,NA,572518,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Mojave King,Cairns Taipans,4.5,1.05,NA,572342,NA,TAB,Perth Wildcats
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Nathan Sobey,South East Melbourne Phoenix,23.5,1.8,1.95,592423,592424,TAB,New Zealand Breakers
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Nathan Sobey,South East Melbourne Phoenix,14.5,1.05,NA,566430,NA,TAB,New Zealand Breakers
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Nathan Sobey,South East Melbourne Phoenix,19.5,1.3,NA,566532,NA,TAB,New Zealand Breakers
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Nathan Sobey,South East Melbourne Phoenix,24.5,1.9,NA,566811,NA,TAB,New Zealand Breakers
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Nathan Sobey,South East Melbourne Phoenix,29.5,3.5,NA,566891,NA,TAB,New Zealand Breakers
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Nick Marshall,Tasmania JackJumpers,9.5,1.5,NA,570367,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Nick Marshall,Tasmania JackJumpers,14.5,3,NA,570388,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Nick Marshall,Tasmania JackJumpers,19.5,9,NA,570404,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Nick Marshall,Tasmania JackJumpers,4.5,1.05,NA,570223,NA,TAB,Sydney Kings
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Owen Foxwell,South East Melbourne Phoenix,13.5,2,1.75,592551,592552,TAB,New Zealand Breakers
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Owen Foxwell,South East Melbourne Phoenix,9.5,1.3,NA,566375,NA,TAB,New Zealand Breakers
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Owen Foxwell,South East Melbourne Phoenix,14.5,2.25,NA,566431,NA,TAB,New Zealand Breakers
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Owen Foxwell,South East Melbourne Phoenix,19.5,5,NA,566545,NA,TAB,New Zealand Breakers
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Owen Foxwell,South East Melbourne Phoenix,24.5,11,NA,566812,NA,TAB,New Zealand Breakers
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Owen Foxwell,South East Melbourne Phoenix,4.5,1.05,NA,566235,NA,TAB,New Zealand Breakers
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Parker Jackson-Cartwright,New Zealand Breakers,17.5,1.75,2,592495,592496,TAB,South East Melbourne Phoenix
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,NA NA,NA,9.5,1.05,NA,566412,NA,TAB,NA
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,NA NA,NA,14.5,1.3,NA,566441,NA,TAB,NA
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,NA NA,NA,19.5,2.15,NA,566792,NA,TAB,NA
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,NA NA,NA,24.5,4.5,NA,566849,NA,TAB,NA
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,NA NA,NA,29.5,11,NA,566922,NA,TAB,NA
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,NA NA,NA,9.5,2.5,NA,566414,NA,TAB,NA
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,NA NA,NA,14.5,6,NA,566442,NA,TAB,NA
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,NA NA,NA,4.5,1.2,NA,566290,NA,TAB,NA
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Sam Mennenga,New Zealand Breakers,17.5,1.85,1.9,592383,592384,TAB,South East Melbourne Phoenix
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Sam Mennenga,New Zealand Breakers,9.5,1.05,NA,566416,NA,TAB,South East Melbourne Phoenix
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Sam Mennenga,New Zealand Breakers,14.5,1.35,NA,566446,NA,TAB,South East Melbourne Phoenix
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Sam Mennenga,New Zealand Breakers,19.5,2.25,NA,566797,NA,TAB,South East Melbourne Phoenix
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Sam Mennenga,New Zealand Breakers,24.5,4.5,NA,566852,NA,TAB,South East Melbourne Phoenix
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,Sam Mennenga,New Zealand Breakers,29.5,11,NA,566925,NA,TAB,South East Melbourne Phoenix
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Sunday Dech,Perth Wildcats,9.5,2.5,NA,572369,NA,TAB,Cairns Taipans
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Sunday Dech,Perth Wildcats,14.5,9,NA,572423,NA,TAB,Cairns Taipans
