match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,group_by_header,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Ian Clark,Melbourne United,3.5,3.8,BetRight,Player Three Pointers - Ian Clark (MUT),41521419,Ian Clark 4+,3,242539195,Illawarra Hawks
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Chris Goulding,Melbourne United,3.5,1.48,BetRight,Player Three Pointers - Chris  Goulding (MUT),41521420,Chris Goulding 4+,1,242539196,Illawarra Hawks
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Chris Goulding,Melbourne United,4.5,2.05,BetRight,Player Three Pointers - Chris  Goulding (MUT),41521420,Chris Goulding 5+,2,242539197,Illawarra Hawks
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Chris Goulding,Melbourne United,5.5,3.1,BetRight,Player Three Pointers - Chris  Goulding (MUT),41521420,Chris Goulding 6+,3,242539198,Illawarra Hawks
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Shea Ili,Melbourne United,0.5,1.4,BetRight,Player Three Pointers - Shea  Ili (MUT),41521421,Shea Ili 1+,1,242539199,Illawarra Hawks
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Shea Ili,Melbourne United,1.5,2.8,BetRight,Player Three Pointers - Shea  Ili (MUT),41521421,Shea Ili 2+,2,242539200,Illawarra Hawks
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Jack White,Melbourne United,0.5,1.3,BetRight,Player Three Pointers - Jack White (MUT),41521422,Jack White 1+,1,242539201,Illawarra Hawks
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Jack White,Melbourne United,1.5,2.38,BetRight,Player Three Pointers - Jack White (MUT),41521422,Jack White 2+,2,242539202,Illawarra Hawks
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Matthew Dellavedova,Melbourne United,0.5,1.22,BetRight,Player Three Pointers - Matthew William Dellavedova (MUT),41522013,Matthew William Dellavedova 1+,1,242541811,Illawarra Hawks
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Matthew Dellavedova,Melbourne United,1.5,1.98,BetRight,Player Three Pointers - Matthew William Dellavedova (MUT),41522013,Matthew William Dellavedova 2+,2,242541812,Illawarra Hawks
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Threes,Matthew Dellavedova,Melbourne United,2.5,3.9,BetRight,Player Three Pointers - Matthew William Dellavedova (MUT),41522013,Matthew William Dellavedova 3+,3,242541813,Illawarra Hawks
