player_id,player_name,player_first_name,player_last_name,player_team,player_team_id,previous_games,previous_average,previous_total,locked,active,played_status,supercoach_price,points,games,minutes_played,total_rebouds,total_assists,total_steals,total_blocks,total_turnovers,supercoach_position_1,injury_suspension_status,injury_suspension_status_text,supercoach_position_2
40,Reyne Smith,Reyne,Smith,Cairns Taipans,8,0,0,0,FALSE,TRUE,Yet to play,148300,0,0,0,24,32,15,3,-18,GRD,Injury,Foot. Expected to be available for Round 10.,NA
41,Kody Stattmann,Kody,Stattmann,Cairns Taipans,8,3,8.33,25,FALSE,TRUE,Yet to play,58500,0,0,0,18,12,9,3,-10,GRD,Injury,Hamstring. Expected to be available for Round 10.,NA
42,Sam Waardenburg,Sam,Waardenburg,Cairns Taipans,8,26,29.31,762,FALSE,TRUE,Yet to play,309600,0,0,0,0,0,0,0,0,FWD,Injury,Ankle. Expected to be available for December.,CTR
43,Jackson Ball,Jackson,Ball,Illawarra Hawks,10,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,6,2,0,3,-2,GRD,NA,NA,NA
44,Todd Blanchfield,Todd,Blanchfield,Illawarra Hawks,10,28,8.89,249,FALSE,TRUE,Yet to play,138000,0,0,0,50,26,12,9,-14,FWD,NA,NA,GRD
45,Jonah Bolden,Jonah,Bolden,Illawarra Hawks,10,24,15.63,375,FALSE,TRUE,Yet to play,161900,0,0,0,41,8,15,18,-16,CTR,Injury,Groin. Expected recovery time is to be confirmed.,FWD
46,Harry Froling,Harry,Froling,Illawarra Hawks,10,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,10,12,0,3,-10,CTR,NA,NA,NA
47,Sam Froling,Sam,Froling,Illawarra Hawks,10,29,28.38,823,FALSE,TRUE,Yet to play,299800,0,0,0,0,0,0,0,0,FWD,Injury,Achilles. Expected recovery time is to be confirmed.,CTR
48,Daniel Grida,Daniel,Grida,Illawarra Hawks,10,17,3.53,60,FALSE,TRUE,Yet to play,67500,0,0,0,7,6,12,9,-16,GRD,NA,NA,FWD
49,Tyler Harvey,Tyler,Harvey,Illawarra Hawks,10,29,29.55,857,FALSE,TRUE,Yet to play,287200,0,0,0,34,86,36,3,-50,GRD,NA,NA,NA
50,William Hickey,William,Hickey,Illawarra Hawks,10,29,23.34,677,FALSE,TRUE,Yet to play,311000,0,0,0,30,66,3,27,-30,GRD,NA,NA,NA
51,Kobe McDowell-White,Kobe,McDowell-White,Illawarra Hawks,10,6,0.83,5,FALSE,TRUE,Yet to play,58500,0,0,0,4,2,0,0,0,GRD,NA,NA,NA
52,JaVale McGee,JaVale,McGee,Illawarra Hawks,10,0,0,0,FALSE,TRUE,Yet to play,397500,0,0,0,105,48,39,54,-64,CTR,NA,NA,NA
53,Johny Narkle,Johny,Narkle,Illawarra Hawks,10,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,4,0,3,6,0,GRD,NA,NA,NA
54,Lachlan *** Olbrich,Lachlan,*** Olbrich,Illawarra Hawks,10,29,17.24,500,FALSE,FALSE,Yet to play,182200,0,0,0,0,0,0,0,0,CTR,NA,NA,FWD
55,Mason Peatling,Mason,Peatling,Illawarra Hawks,10,28,12.32,345,FALSE,TRUE,Yet to play,170000,0,0,0,39,38,9,9,-30,FWD,NA,NA,NA
56,Wani Swaka Lo Buluk,Wani,Swaka Lo Buluk,Illawarra Hawks,10,29,12.31,357,FALSE,TRUE,Yet to play,128000,0,0,0,24,18,12,3,-10,GRD,NA,NA,FWD
57,Luca Yates,Luca,Yates,Illawarra Hawks,10,7,0.86,6,FALSE,TRUE,Yet to play,58500,0,0,0,1,2,0,0,0,FWD,NA,NA,CTR
58,Campbell Blogg,Campbell,Blogg,Melbourne United,1,8,3.25,26,FALSE,TRUE,Yet to play,58500,0,0,0,1,2,3,0,0,GRD,NA,NA,NA
59,Kyle Bowen,Kyle,Bowen,Melbourne United,1,29,12.45,361,FALSE,TRUE,Yet to play,121600,0,0,0,37,26,33,15,-20,FWD,NA,NA,NA
60,Dash Daniels,Dash,Daniels,Melbourne United,1,0,0,0,FALSE,TRUE,Yet to play,119400,0,0,0,35,26,33,12,-20,GRD,NA,NA,NA
61,Finn Delany,Finn,Delany,Melbourne United,1,0,0,0,FALSE,TRUE,Yet to play,211600,0,0,0,62,66,33,3,-38,FWD,NA,NA,NA
62,Milton Doyle,Milton,Doyle,Melbourne United,1,29,26.17,759,FALSE,TRUE,Yet to play,242600,0,0,0,36,108,27,6,-72,GRD,NA,NA,NA
63,Jesse Edwards,Jesse,Edwards,Melbourne United,1,0,0,0,FALSE,TRUE,Yet to play,277800,0,0,0,100,14,24,54,-32,CTR,NA,NA,NA
64,Chris Goulding,Chris,Goulding,Melbourne United,1,25,22.92,573,FALSE,TRUE,Yet to play,216700,0,0,0,13,26,15,3,-10,GRD,NA,NA,FWD
